   Year          GasExp        Pop           Gasp          Income      PNC           PUC           PPT           PD            PN         PS
   1953.00       7.40000       159565.       16.6680       8883.00     47.2000       26.7000       16.8000       37.7000       29.7000    19.4000    
   1954.00       7.80000       162391.       17.0290       8685.00     46.5000       22.7000       18.0000       36.8000       29.7000    20.0000    
   1955.00       8.60000       165275.       17.2100       9137.00     44.8000       21.5000       18.5000       36.1000       29.5000    20.4000    
   1956.00       9.40000       168221.       17.7290       9436.00     46.1000       20.7000       19.2000       36.1000       29.9000    20.9000    
   1957.00       10.2000       171274.       18.4970       9534.00     48.5000       23.2000       19.9000       37.2000       30.9000    21.8000    
   1958.00       10.6000       174141.       18.3160       9343.00     50.0000       24.0000       20.9000       37.8000       31.7000    22.6000    
   1959.00       11.3000       177130.       18.5760       9738.00     52.2000       26.8000       21.5000       38.4000       31.5000    23.3000    
   1960.00       12.0000       180760.       19.1120       9770.00     51.5000       25.0000       22.2000       38.1000       32.0000    24.1000    
   1961.00       12.0000       183742.       18.9240       9843.00     51.5000       26.0000       23.2000       38.1000       32.2000    24.5000    
   1962.00       12.6000       186590.       19.0430       10226.0     51.3000       28.4000       24.0000       38.5000       32.5000    25.0000    
   1963.00       13.0000       189300.       18.9970       10398.0     51.0000       28.7000       24.3000       38.6000       32.9000    25.5000    
   1964.00       13.6000       191927.       18.8730       11051.0     50.9000       30.0000       24.7000       39.0000       33.2000    26.0000    
   1965.00       14.8000       194347.       19.5870       11430.0     49.7000       29.8000       25.2000       38.8000       33.8000    26.6000    
   1966.00       16.0000       196599.       20.0380       11981.0     48.8000       29.0000       26.1000       38.9000       35.1000    27.6000    
   1967.00       17.1000       198752.       20.7000       12418.0     49.3000       29.9000       27.4000       39.4000       35.7000    28.8000    
   1968.00       18.6000       200745.       21.0050       12932.0     50.7000       30.7000       28.7000       40.7000       37.1000    30.3000    
   1969.00       20.5000       202736.       21.6960       13060.0     51.5000       30.9000       30.9000       42.2000       38.9000    32.4000    
   1970.00       21.9000       205089.       21.8900       13567.0     53.0000       31.2000       35.2000       44.1000       40.8000    35.0000    
   1971.00       23.2000       207692.       22.0500       14008.0     55.2000       33.0000       37.8000       46.0000       42.1000    37.0000    
   1972.00       24.4000       209924.       22.3360       14270.0     54.7000       33.1000       39.3000       46.9000       43.5000    38.4000    
   1973.00       28.1000       211939.       24.4730       15309.0     54.8000       35.2000       39.7000       48.1000       47.5000    40.1000    
   1974.00       36.1000       213898.       33.0590       15074.0     57.9000       36.7000       40.6000       51.5000       54.0000    43.8000    
   1975.00       39.7000       215981.       35.2780       15555.0     62.9000       43.8000       43.5000       57.4000       58.3000    48.0000    
   1976.00       43.0000       218086.       36.7770       15693.0     66.9000       50.3000       47.8000       60.9000       60.5000    52.0000    
   1977.00       46.9000       220289.       38.9070       15991.0     70.4000       54.7000       50.0000       64.4000       64.0000    56.0000    
   1978.00       50.1000       222629.       40.5970       16674.0     75.8000       55.8000       51.5000       68.6000       68.6000    60.8000    
   1979.00       66.2000       225106.       54.4060       16843.0     81.8000       60.2000       54.9000       75.4000       77.2000    67.5000    
   1980.00       86.7000       227726.       75.5090       16711.0     88.4000       62.3000       69.0000       83.0000       87.6000    77.9000    
   1981.00       97.9000       230008.       84.0180       17046.0     93.7000       76.9000       85.6000       89.6000       95.2000    88.1000    
   1982.00       94.1000       232218.       79.7680       17429.0     97.4000       88.8000       94.9000       95.1000       97.8000    96.0000    
   1983.00       93.1000       234333.       77.1600       17659.0     99.9000       98.7000       99.5000       99.8000       99.7000    99.4000    
   1984.00       94.6000       236394.       76.0050       18922.0     102.800       112.500       105.700       105.100       102.500    104.600    
   1985.00       97.2000       238506.       76.6190       19622.0     106.100       113.700       110.500       106.800       104.800    109.900    
   1986.00       80.1000       240683.       60.1750       19944.0     110.600       108.800       117.000       106.600       103.500    115.400    
   1987.00       85.4000       242843.       62.4880       19802.0     114.600       113.100       121.100       108.200       107.500    120.200    
   1988.00       88.3000       245061.       63.0170       20682.0     116.900       118.000       123.300       110.400       111.800    125.700    
   1989.00       98.6000       247387.       68.8370       21048.0     119.200       120.400       129.500       112.200       118.200    131.900    
   1990.00       111.200       250181.       78.3850       21379.0     121.000       117.600       142.600       113.400       126.000    139.200    
   1991.00       108.500       253530.       77.3380       21129.0     125.300       118.100       148.900       116.000       130.300    146.300    
   1992.00       112.400       256922.       77.0400       21505.0     128.400       123.200       151.400       118.600       132.800    152.000    
   1993.00       114.100       260282.       76.2570       21515.0     131.500       133.900       167.000       121.300       135.100    157.900    
   1994.00       116.200       263455.       76.6140       21797.0     136.000       141.700       172.000       124.800       136.800    163.100    
   1995.00       120.200       266588.       77.8260       22100.0     139.000       156.500       175.900       128.000       139.300    168.700    
   1996.00       130.400       269714.       82.5960       22506.0     141.400       157.000       181.900       129.400       143.500    174.100    
   1997.00       134.400       272958.       82.5790       22944.0     141.700       151.100       186.700       128.700       146.400    179.400    
   1998.00       122.400       276154.       71.8740       24079.0     140.700       150.600       190.300       127.600       146.900    184.200    
   1999.00       137.900       279328.       78.2070       24464.0     139.600       152.000       197.700       126.000       151.200    188.800    
   2000.00       175.700       282429.       100.000       25380.0     139.600       155.800       209.600       125.400       158.200    195.300    
   2001.00       171.600       285366.       96.2890       25449.0     138.900       158.700       210.600       124.600       160.600    203.400    
   2002.00       163.400       288217.       90.4050       26352.0     137.300       152.000       207.400       121.400       161.100    209.800    
   2003.00       191.300       291073.       105.154       26437.0     134.700       142.900       209.300       117.500       165.300    216.500    
   2004.00       224.500       293951.       123.901       27113.0     133.900       133.300       209.100       114.800       172.200    222.800    
